,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel
11,SVC,0.6662547130289066,0.6891712719487224,0.7112484289903644,0.018097680859369296,1,0.5,rbf
10,SVC,0.6621268342047563,0.6834866406482958,0.7030485748018215,0.01491318186581452,1,1,rbf
16,SVC,0.6474531961544948,0.6736637099538434,0.6992115027829313,0.021422875633936363,2,0.5,rbf
36,SVC,0.6529744449099288,0.672681233830294,0.6992536684095125,0.019217135602368474,10,0.5,rbf
31,SVC,0.6529744449099288,0.672681233830294,0.6992536684095125,0.019217135602368474,5,0.5,rbf
26,SVC,0.6529744449099288,0.6708969631797991,0.7014041153651545,0.02101728574646745,4,0.5,rbf
21,SVC,0.643700455388767,0.670807212261501,0.6960490807893405,0.019817284679801015,3,0.5,rbf
35,SVC,0.6369117895091921,0.6681371359561962,0.7001813121942991,0.021042668921883126,10,1,rbf
30,SVC,0.6369117895091921,0.6681371359561962,0.7001813121942991,0.021042668921883126,5,1,rbf
25,SVC,0.6369117895091921,0.6681371359561962,0.7001813121942991,0.021042668921883126,4,1,rbf
15,SVC,0.6369117895091921,0.6681371359561962,0.7001813121942991,0.021042668921883126,2,1,rbf
20,SVC,0.6369117895091921,0.6681371359561962,0.7001813121942991,0.021042668921883126,3,1,rbf
37,SVC,0.6280477586929198,0.641876720695416,0.6674696271470464,0.016616325991716634,10,0.01,rbf
22,SVC,0.6285629954461123,0.641602918791548,0.6647465437788018,0.013600403891123797,3,0.01,rbf
27,SVC,0.6268763703828639,0.6411991014377734,0.6644951822371177,0.013798545801554173,4,0.01,rbf
17,SVC,0.626496879743633,0.6411972133303404,0.6616045245077503,0.012726809963081908,2,0.01,rbf
32,SVC,0.6271293641423511,0.6409534831966688,0.6630708001675742,0.013775588773207172,5,0.01,rbf
12,SVC,0.6261595547309833,0.6405983350676379,0.6505027230833682,0.00835446736400099,1,0.01,rbf
38,SVC,0.6243885984145725,0.6381062449179671,0.647863426895685,0.007974842961990969,10,0.001,rbf
23,SVC,0.6164614606173047,0.6366021695509242,0.6562330905306971,0.012757514490221486,3,0.001,rbf
14,SVC,0.6152808230730309,0.6365872057993226,0.6560249739854318,0.013004667476229585,1,0.0001,rbf
19,SVC,0.6152808230730309,0.6365872057993226,0.6560249739854318,0.013004667476229585,2,0.0001,rbf
29,SVC,0.6152808230730309,0.6365872057993226,0.6560249739854318,0.013004667476229585,4,0.0001,rbf
24,SVC,0.6152808230730309,0.6365788270812663,0.6560249739854318,0.01300586143061141,3,0.0001,rbf
34,SVC,0.6148591668072187,0.6365028745461601,0.6560249739854318,0.013143188772884468,5,0.0001,rbf
39,SVC,0.6148591668072187,0.6365028745461601,0.6560249739854318,0.013143188772884468,10,0.0001,rbf
18,SVC,0.6148591668072187,0.6365028745461601,0.6560249739854318,0.013143188772884468,2,0.001,rbf
13,SVC,0.6148591668072187,0.6365028745461601,0.6560249739854318,0.013143188772884468,1,0.001,rbf
28,SVC,0.6180637544273908,0.6358970763820014,0.6527367325702393,0.011063729702056999,4,0.001,rbf
33,SVC,0.6179372575476472,0.6351126103918919,0.6501144640998959,0.010259578097073318,5,0.001,rbf
1,SVC,0.6177838290741516,0.6324900298695858,0.6514243820695433,0.013111974295618223,2,,linear
2,SVC,0.6174067867616254,0.6319368579175462,0.6523460410557184,0.013107008935484653,3,,linear
0,SVC,0.620674486803519,0.6318383383039923,0.6441767909509846,0.00998840570280685,1,,linear
7,SVC,0.6193757855048176,0.6315627795721447,0.6529744449099287,0.013283198414887665,8,,linear
9,SVC,0.6196271470465018,0.6314423847298829,0.6525136154168414,0.01295259935506008,10,,linear
8,SVC,0.6196271470465019,0.6314353598750668,0.652932551319648,0.0133157740191954,9,,linear
6,SVC,0.6188730624214496,0.631268548619644,0.6519271051529115,0.012858046456845242,7,,linear
3,SVC,0.6185798072894847,0.6311501594746997,0.6522203602848764,0.012943631575570403,4,,linear
5,SVC,0.6176581483033097,0.6308571149514836,0.6531839128613321,0.01361077924176564,6,,linear
4,SVC,0.6173648931713448,0.6307150031880898,0.6525136154168412,0.013236704476288845,5,,linear
