,estimator,min_score,mean_score,max_score,std_score,C,algorithm,alpha,criterion,gamma,hidden_layer_sizes,kernel,max_depth,max_features,max_iter,n_estimators,n_neighbors,random_state,solver,weights
307,ExtraTreesClassifier,0.8936104218362282,0.9192314402048052,0.9402081165452654,0.016805452238400485,,,,entropy,,,,4,auto,,50,,,,
103,RandomForestClassifier,0.8994904667981591,0.9192303481402577,0.9409516765285996,0.015650841992670857,,,,entropy,,,,4,auto,,500,,,,
269,ExtraTreesClassifier,0.905284352399737,0.9187184212902816,0.933534681130835,0.011405051272833856,,,,gini,,,,7,auto,,20,,,,
105,RandomForestClassifier,0.8969602977667493,0.9186124492963923,0.939063475546306,0.018015595362719884,,,,entropy,,,,4,sqrt,,100,,,,
306,ExtraTreesClassifier,0.9019644334160464,0.9185776007213612,0.9277211238293444,0.010971082922632061,,,,entropy,,,,4,auto,,40,,,,
116,RandomForestClassifier,0.8893819855358317,0.9184750467099183,0.9448348126232742,0.021923637302489123,,,,entropy,,,,5,sqrt,,50,,,,
107,RandomForestClassifier,0.8965318869165022,0.9184533978344112,0.9396778435239974,0.016632423633066527,,,,entropy,,,,4,sqrt,,500,,,,
372,ExtraTreesClassifier,0.8969396195202647,0.9181624256592238,0.9312382934443288,0.013575138957956897,,,,entropy,,,,7,log2,,40,,,,
101,RandomForestClassifier,0.8938814924391848,0.9174718945173399,0.9366781722550952,0.015493406698843897,,,,entropy,,,,4,auto,,100,,,,
113,RandomForestClassifier,0.8939636752136751,0.9173224785366985,0.9367192636423405,0.01566818225262584,,,,entropy,,,,5,auto,,100,,,,
45,RandomForestClassifier,0.8950525969756739,0.9165606864630517,0.9381780078895464,0.016450604265605618,,,,gini,,,,4,sqrt,,100,,,,
247,ExtraTreesClassifier,0.9123655913978495,0.9165004614549959,0.9224557752341311,0.0035682586908714425,,,,gini,,,,5,log2,,50,,,,
41,RandomForestClassifier,0.8928747534516766,0.9163027305547518,0.9341715976331362,0.015955553602493254,,,,gini,,,,4,auto,,100,,,,
216,ExtraTreesClassifier,0.893424317617866,0.9162536191207247,0.9332881328073637,0.01507827535603351,,,,gini,,,,4,auto,,40,,,,
319,ExtraTreesClassifier,0.8940860215053763,0.9159854185010271,0.9343600416233091,0.013103158859761413,,,,entropy,,,,4,log2,,50,,,,
112,RandomForestClassifier,0.8866494082840237,0.9158323452586441,0.9481837606837608,0.02192067952015209,,,,entropy,,,,5,auto,,50,,,,
312,ExtraTreesClassifier,0.8898883374689825,0.9157321320452274,0.9376899063475547,0.018318481750932654,,,,entropy,,,,4,sqrt,,40,,,,
347,ExtraTreesClassifier,0.8974358974358975,0.9156193326382432,0.9311308349769888,0.011163231214323546,,,,entropy,,,,6,sqrt,,20,,,,
251,ExtraTreesClassifier,0.8863316790736144,0.9142388003948877,0.9425182101977106,0.018876531031851346,,,,gini,,,,6,auto,,20,,,,
365,ExtraTreesClassifier,0.8856426692965154,0.9142376417973551,0.9367192636423406,0.017387245131449677,,,,entropy,,,,7,sqrt,,20,,,,
40,RandomForestClassifier,0.8885190664036818,0.9142252001291664,0.9333818938605619,0.017156459541139986,,,,gini,,,,4,auto,,50,,,,
104,RandomForestClassifier,0.8984631821170284,0.9141445127219961,0.9336108220603537,0.014599032287017928,,,,entropy,,,,4,sqrt,,50,,,,
108,RandomForestClassifier,0.8951347797501644,0.9140423337923937,0.9339021852237253,0.0151927681922659,,,,entropy,,,,4,log2,,50,,,,
229,ExtraTreesClassifier,0.8990590072320841,0.9135101251572676,0.9284911550468263,0.01188689136346603,,,,gini,,,,4,log2,,50,,,,
420,mlp,0.8861869313482217,0.9134854855471201,0.9339646201873049,0.017855292774539823,,,0.0001,,,10,,,,1000,,,3,lbfgs,
424,mlp,0.8861869313482217,0.9134854855471201,0.9339646201873049,0.017855292774539823,,,0.0001,,,10,,,,1500,,,3,lbfgs,
428,mlp,0.8861869313482217,0.9134854855471201,0.9339646201873049,0.017855292774539823,,,0.0001,,,10,,,,2000,,,3,lbfgs,
426,mlp,0.902605459057072,0.9130615120535877,0.9210634451019066,0.0071693184798304116,,,0.0001,,,10,,,,2000,,,0,lbfgs,
418,mlp,0.902605459057072,0.9130615120535877,0.9210634451019066,0.0071693184798304116,,,0.0001,,,10,,,,1000,,,0,lbfgs,
422,mlp,0.902605459057072,0.9130615120535877,0.9210634451019066,0.0071693184798304116,,,0.0001,,,10,,,,1500,,,0,lbfgs,
336,ExtraTreesClassifier,0.8943951347797502,0.9128899486276417,0.9304058272632675,0.014490265054039133,,,,entropy,,,,5,log2,,40,,,,
222,ExtraTreesClassifier,0.8919561621174524,0.9127650060102035,0.9455150884495318,0.01820893626199981,,,,gini,,,,4,sqrt,,40,,,,
329,ExtraTreesClassifier,0.8963163371488033,0.9126657981461073,0.9317266600920447,0.01176926699682673,,,,entropy,,,,5,sqrt,,20,,,,
448,mlp,0.8861455748552522,0.9122602975615063,0.9332986472424558,0.01752540838452604,,,1e-07,,,10,,,,1500,,,3,lbfgs,
452,mlp,0.8861455748552522,0.9122602975615063,0.9332986472424558,0.01752540838452604,,,1e-07,,,10,,,,2000,,,3,lbfgs,
