,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel
37,SVC,0.6016949152542372,0.6599147612108729,0.7457627118644068,0.041141337450454854,10,0.01,rbf
17,SVC,0.6101694915254238,0.654025773716701,0.7542372881355932,0.039671266190094014,2,0.01,rbf
32,SVC,0.6016949152542372,0.6539966790714548,0.7457627118644068,0.043071535129274134,5,0.01,rbf
22,SVC,0.6016949152542372,0.6522733995814753,0.7542372881355932,0.04447627588374392,3,0.01,rbf
27,SVC,0.5982905982905983,0.6522731561116406,0.7542372881355932,0.048371427914396865,4,0.01,rbf
12,SVC,0.5798319327731093,0.641284814664675,0.7288135593220338,0.03782903217249498,1,0.01,rbf
0,SVC,0.5847457627118644,0.6404657212732985,0.7203389830508474,0.039324812372580766,1,,linear
1,SVC,0.5882352941176471,0.6396468713517567,0.7203389830508474,0.03845575690321767,2,,linear
38,SVC,0.6016949152542372,0.6396258720785142,0.7457627118644068,0.03922126867911833,10,0.001,rbf
2,SVC,0.5882352941176471,0.6387636845263963,0.7288135593220338,0.04096514482082372,3,,linear
5,SVC,0.5630252100840336,0.6353663673205048,0.7033898305084746,0.044498501232572985,6,,linear
3,SVC,0.5798319327731093,0.6345190314283036,0.711864406779661,0.04175785884277545,4,,linear
4,SVC,0.5630252100840336,0.6319836583046952,0.7033898305084746,0.04363687853752985,5,,linear
7,SVC,0.5462184873949579,0.6302742565952935,0.7033898305084746,0.051995650924988125,8,,linear
6,SVC,0.5555555555555556,0.6294267989681749,0.7033898305084746,0.04724195490143969,7,,linear
33,SVC,0.5798319327731093,0.6268919127842358,0.7203389830508474,0.0372702022556851,5,0.001,rbf
8,SVC,0.5294117647058824,0.6252109970454935,0.6949152542372882,0.05028665221875055,9,,linear
9,SVC,0.5378151260504201,0.6235090820335086,0.6949152542372882,0.04745875423665094,10,,linear
28,SVC,0.6016949152542372,0.6201411029426981,0.7033898305084746,0.029068831548410258,4,0.001,rbf
23,SVC,0.5932203389830508,0.6108119475517283,0.635593220338983,0.011771810346052933,3,0.001,rbf
16,SVC,0.5462184873949579,0.5913985150774782,0.6864406779661016,0.03729374170830313,2,0.5,rbf
21,SVC,0.5462184873949579,0.5913985150774782,0.6864406779661016,0.03729374170830313,3,0.5,rbf
31,SVC,0.5462184873949579,0.5913985150774782,0.6864406779661016,0.03729374170830313,5,0.5,rbf
26,SVC,0.5462184873949579,0.5913985150774782,0.6864406779661016,0.03729374170830313,4,0.5,rbf
36,SVC,0.5462184873949579,0.5913985150774782,0.6864406779661016,0.03729374170830313,10,0.5,rbf
11,SVC,0.5378151260504201,0.5871754699272147,0.6694915254237288,0.034968819217581944,1,0.5,rbf
35,SVC,0.5378151260504201,0.5863207690725138,0.6779661016949152,0.035211467791872154,10,1,rbf
30,SVC,0.5378151260504201,0.5863207690725138,0.6779661016949152,0.035211467791872154,5,1,rbf
20,SVC,0.5378151260504201,0.5863207690725138,0.6779661016949152,0.035211467791872154,3,1,rbf
25,SVC,0.5378151260504201,0.5863207690725138,0.6779661016949152,0.035211467791872154,4,1,rbf
15,SVC,0.5378151260504201,0.5863207690725138,0.6779661016949152,0.035211467791872154,2,1,rbf
18,SVC,0.5630252100840336,0.5744706052781826,0.5847457627118644,0.007064461536111185,2,0.001,rbf
10,SVC,0.5169491525423728,0.5550145655828607,0.6016949152542372,0.02495254004149927,1,1,rbf
29,SVC,0.5508474576271186,0.5524505847536754,0.5555555555555556,0.001980002653339234,4,0.0001,rbf
24,SVC,0.5508474576271186,0.5524505847536754,0.5555555555555556,0.001980002653339234,3,0.0001,rbf
19,SVC,0.5508474576271186,0.5524505847536754,0.5555555555555556,0.001980002653339234,2,0.0001,rbf
34,SVC,0.5508474576271186,0.5524505847536754,0.5555555555555556,0.001980002653339234,5,0.0001,rbf
14,SVC,0.5508474576271186,0.5524505847536754,0.5555555555555556,0.001980002653339234,1,0.0001,rbf
13,SVC,0.5508474576271186,0.5524505847536754,0.5555555555555556,0.001980002653339234,1,0.001,rbf
39,SVC,0.5508474576271186,0.5524505847536754,0.5555555555555556,0.001980002653339234,10,0.0001,rbf
