,estimator,min_score,mean_score,max_score,std_score,C,algorithm,alpha,criterion,gamma,hidden_layer_sizes,kernel,max_depth,max_features,max_iter,n_estimators,n_neighbors,random_state,solver,weights
365,ExtraTreesClassifier,0.9219674556213018,0.9394553024907623,0.9563787721123829,0.011626691876613696,,,,entropy,,,,7,sqrt,,20,,,,
331,ExtraTreesClassifier,0.9307610124917818,0.9393757488809118,0.9524245577523412,0.00751430965331702,,,,entropy,,,,5,sqrt,,50,,,,
347,ExtraTreesClassifier,0.9276791584483892,0.939337186773311,0.9512591050988554,0.008568953913661501,,,,entropy,,,,6,sqrt,,20,,,,
315,ExtraTreesClassifier,0.9303500986193294,0.9391856701291184,0.9483870967741936,0.0057668799907286804,,,,entropy,,,,4,sqrt,,500,,,,
338,ExtraTreesClassifier,0.9282955292570677,0.9390443297819427,0.9529240374609781,0.008046326125285922,,,,entropy,,,,5,log2,,100,,,,
47,RandomForestClassifier,0.92894901144641,0.9388290023609802,0.9474772539288668,0.006861926028685669,,,,gini,,,,4,sqrt,,500,,,,
348,ExtraTreesClassifier,0.9333333333333333,0.9388145659004941,0.9427679500520291,0.003624030853488982,,,,entropy,,,,6,sqrt,,40,,,,
204,knn,0.9321170282708745,0.938772574864146,0.956108220603538,0.008925295611510248,,brute,,,,,,,,,,6,,,uniform
180,knn,0.9321170282708745,0.938772574864146,0.956108220603538,0.008925295611510248,,ball_tree,,,,,,,,,,6,,,uniform
192,knn,0.9321170282708745,0.9387479200317989,0.956108220603538,0.008928832915515831,,kd_tree,,,,,,,,,,6,,,uniform
168,knn,0.9321170282708745,0.9387479200317989,0.956108220603538,0.008928832915515831,,auto,,,,,,,,,,6,,,uniform
359,ExtraTreesClassifier,0.9233714880332986,0.9386670101068564,0.9458826429980276,0.00791600789927718,,,,entropy,,,,7,auto,,20,,,,
246,ExtraTreesClassifier,0.9293639053254438,0.9386284681814978,0.9525078043704474,0.008352458965159027,,,,gini,,,,5,log2,,40,,,,
51,RandomForestClassifier,0.9294484911550469,0.9385175893372084,0.94656741108354,0.006040516971251685,,,,gini,,,,4,log2,,500,,,,
257,ExtraTreesClassifier,0.92870644312952,0.9384899598476002,0.9488865764828304,0.00799812164633089,,,,gini,,,,6,sqrt,,20,,,,
218,ExtraTreesClassifier,0.9317061143984221,0.9383000887334514,0.9514672216441207,0.007132774205053486,,,,gini,,,,4,auto,,100,,,,
235,ExtraTreesClassifier,0.9213921761998685,0.9382464422811816,0.9527159209157128,0.010810060856799492,,,,gini,,,,5,auto,,50,,,,
43,RandomForestClassifier,0.928283038501561,0.938045340262342,0.9475186104218362,0.0074581261448515065,,,,gini,,,,4,auto,,500,,,,
50,RandomForestClassifier,0.9282414151925078,0.9380287952706506,0.948014888337469,0.007598022168934368,,,,gini,,,,4,log2,,200,,,,
353,ExtraTreesClassifier,0.9252136752136751,0.9380019296276,0.9513839750260145,0.010053607024345976,,,,entropy,,,,6,log2,,20,,,,
230,ExtraTreesClassifier,0.9178172255095333,0.9379050579435594,0.9538813735691987,0.011558926853365665,,,,gini,,,,4,log2,,100,,,,
49,RandomForestClassifier,0.9293652445369406,0.9378935886147526,0.9457816377171216,0.005940983941956365,,,,gini,,,,4,log2,,100,,,,
41,RandomForestClassifier,0.9251612903225805,0.9378658387158346,0.9481803143093466,0.00953367017177344,,,,gini,,,,4,auto,,100,,,,
