,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel
17,SVC,0.7077934098482044,0.7469284807592048,0.7846399481673454,0.02568377042774904,2,0.01,rbf
12,SVC,0.7047389855609034,0.7453330776960913,0.7860283228433913,0.027329424811865944,1,0.01,rbf
22,SVC,0.7008052573121066,0.7433649227925158,0.7813078489448352,0.026465980706748993,3,0.01,rbf
38,SVC,0.7030266567937801,0.7426884915387852,0.7806599407626805,0.026486329614278988,10,0.001,rbf
27,SVC,0.6988152536097743,0.741854333366075,0.7820020362828581,0.027029659805968193,4,0.01,rbf
32,SVC,0.6974731580895965,0.7406291005850693,0.7788550536838208,0.02625806309699524,5,0.01,rbf
37,SVC,0.6946038504257683,0.7341817530418313,0.7671001480932989,0.02347949961570671,10,0.01,rbf
33,SVC,0.6891429100333211,0.731819564182578,0.7793178452425028,0.03112884697726,5,0.001,rbf
28,SVC,0.6830340614587189,0.7260806969955698,0.7754766753054426,0.031802347901523795,4,0.001,rbf
23,SVC,0.6773417252869307,0.7196050152752695,0.7733941132913735,0.03314396531170127,3,0.001,rbf
0,SVC,0.6536467974824139,0.712461780343385,0.7418317289892632,0.03425979410984375,1,,linear
18,SVC,0.6730840429470566,0.7117297511377746,0.7665910773787487,0.03320673181043096,2,0.001,rbf
1,SVC,0.6513791188448723,0.7051072354154547,0.7391012587930397,0.03334229047278064,2,,linear
39,SVC,0.6648463532025175,0.7009926091873254,0.7542808219178082,0.03389206564426236,10,0.0001,rbf
13,SVC,0.6641521658644947,0.700890417255388,0.7545122176971493,0.0341982556613933,1,0.001,rbf
2,SVC,0.6452239911144021,0.7000913304973971,0.7407210292484265,0.03404084777169962,3,,linear
3,SVC,0.6495279526101444,0.698646917115606,0.7431275453535728,0.033135392432709805,4,,linear
19,SVC,0.661421695668271,0.698219385866157,0.7519668641243985,0.03504327489502821,2,0.0001,rbf
24,SVC,0.661421695668271,0.6982010630983233,0.7519668641243985,0.03501415192940797,3,0.0001,rbf
34,SVC,0.661421695668271,0.6981731696751265,0.7519205849685302,0.03501158557235466,5,0.0001,rbf
29,SVC,0.661421695668271,0.6981731696751265,0.7519205849685302,0.03501158557235466,4,0.0001,rbf
14,SVC,0.661421695668271,0.698126323835717,0.7519668641243984,0.03510274432771853,1,0.0001,rbf
4,SVC,0.6506386523509812,0.6978979503685961,0.7426184746390226,0.03262699447876762,5,,linear
5,SVC,0.649435394298408,0.6967289451878493,0.7420631247686043,0.03245854559803562,6,,linear
6,SVC,0.6480932987782303,0.6946538759894925,0.7388698630136987,0.03176801123656697,7,,linear
7,SVC,0.6485560903369123,0.6927821202527661,0.7353063680118476,0.03041672772248472,8,,linear
8,SVC,0.6497130692336172,0.6909140794414768,0.7332238059977787,0.029714352691554563,9,,linear
9,SVC,0.6515642354683451,0.6901542827423454,0.7328998519067011,0.029020851581128795,10,,linear
11,SVC,0.6151888189559424,0.6561648557979283,0.7005970011106998,0.02813475278448883,1,0.5,rbf
26,SVC,0.6112088115512773,0.6541810856145494,0.6999953720844132,0.028875574679188606,4,0.5,rbf
31,SVC,0.6112088115512773,0.6541810856145494,0.6999953720844132,0.028875574679188606,5,0.5,rbf
36,SVC,0.6112088115512773,0.6541810856145494,0.6999953720844132,0.028875574679188606,10,0.5,rbf
16,SVC,0.6113013698630135,0.6541241654010734,0.6998102554609403,0.028743759248686062,2,0.5,rbf
21,SVC,0.6112088115512773,0.6540977831339866,0.6995788596815995,0.02874358507302397,3,0.5,rbf
15,SVC,0.6010736764161422,0.6479127471055064,0.6982367641614217,0.031669666404848834,2,1,rbf
25,SVC,0.6010736764161422,0.6479127471055064,0.6982367641614217,0.031669666404848834,4,1,rbf
30,SVC,0.6010736764161422,0.6479127471055064,0.6982367641614217,0.031669666404848834,5,1,rbf
35,SVC,0.6010736764161422,0.6479127471055064,0.6982367641614217,0.031669666404848834,10,1,rbf
20,SVC,0.6010736764161422,0.6479127471055064,0.6982367641614217,0.031669666404848834,3,1,rbf
10,SVC,0.602693446871529,0.6478957465992691,0.6986532765642355,0.03186349540726946,1,1,rbf
