,estimator,min_score,mean_score,max_score,std_score,alpha,criterion,hidden_layer_sizes,max_depth,max_features,max_iter,n_estimators,random_state,solver
115,mlp,0.5990302432610125,0.6881619559816362,0.7589910089910089,0.04889323410390029,0.0001,,10,,,1000,,1,lbfgs
117,mlp,0.6489151873767257,0.6871790949088651,0.7196745562130178,0.020921316659198923,0.0001,,10,,,1000,,9,lbfgs
141,mlp,0.6415187376725838,0.686665878798746,0.7094788328554562,0.02238860345760274,1e-07,,10,,,1000,,9,lbfgs
145,mlp,0.6415187376725838,0.6864357670301726,0.7094788328554562,0.02237129926322895,1e-07,,10,,,1500,,9,lbfgs
149,mlp,0.6415187376725838,0.6864357670301726,0.7094788328554562,0.02237129926322895,1e-07,,10,,,2000,,9,lbfgs
125,mlp,0.6489151873767257,0.6859052619042628,0.7069362261669955,0.0192228448271579,0.0001,,10,,,2000,,9,lbfgs
128,mlp,0.6194115713346483,0.6855824134795163,0.7200854700854702,0.033110842354753416,0.0001,,13,,,1000,,3,lbfgs
121,mlp,0.6489151873767257,0.6851327438240524,0.7061143984220908,0.018503924465713202,0.0001,,10,,,1500,,9,lbfgs
108,mlp,0.6184253780407627,0.6825375645555465,0.7119547119547119,0.03349221659638688,0.1,,13,,,1500,,3,lbfgs
136,mlp,0.6120151216305063,0.6814350346068628,0.7200854700854702,0.03700542208407374,0.0001,,13,,,2000,,3,lbfgs
132,mlp,0.6090565417488495,0.681192323050465,0.7210289710289711,0.03909308471968974,0.0001,,13,,,1500,,3,lbfgs
112,mlp,0.6154667981591058,0.6806525198633091,0.7117882117882117,0.034258010148128584,0.1,,13,,,2000,,3,lbfgs
104,mlp,0.6187541091387246,0.678887087216258,0.7124542124542125,0.03228227426316363,0.1,,13,,,1000,,3,lbfgs
102,mlp,0.602646285338593,0.6764711035440306,0.7735597735597735,0.0466551582163263,0.1,,13,,,1000,,0,lbfgs
106,mlp,0.6028928336620644,0.6762207905314799,0.7742257742257743,0.04707699236035138,0.1,,13,,,1500,,0,lbfgs
110,mlp,0.6028928336620644,0.6755200884696388,0.7742257742257743,0.04691092644015615,0.1,,13,,,2000,,0,lbfgs
152,mlp,0.6213839579224194,0.6750290529761058,0.7113740959894806,0.031206564508575785,1e-07,,13,,,1000,,3,lbfgs
156,mlp,0.6213839579224194,0.6733814068604278,0.7237015121630506,0.03002942859313225,1e-07,,13,,,1500,,3,lbfgs
160,mlp,0.6213839579224194,0.6721340528158709,0.7241946088099934,0.02977624265594694,1e-07,,13,,,2000,,3,lbfgs
154,mlp,0.5882642998027613,0.6718797533357973,0.7503794906392308,0.048945119242582776,1e-07,,13,,,1500,,0,lbfgs
150,mlp,0.5937705456936228,0.671329035876988,0.7375611401585428,0.04404441256620025,1e-07,,13,,,1000,,0,lbfgs
158,mlp,0.5816074950690335,0.6703811257008061,0.7503794906392308,0.04944234379291585,1e-07,,13,,,2000,,0,lbfgs
