,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel
16,SVC,0.6666666666666666,0.6856207770723899,0.7032258064516129,0.011702710311712584,2,0.5,rbf
11,SVC,0.6688311688311688,0.6843055331765009,0.7032258064516129,0.009454031576777131,1,0.5,rbf
31,SVC,0.6538461538461539,0.6804677043386721,0.7032258064516129,0.013435577234574681,5,0.5,rbf
26,SVC,0.6538461538461539,0.6804677043386721,0.7032258064516129,0.013435577234574681,4,0.5,rbf
36,SVC,0.6538461538461539,0.6804677043386721,0.7032258064516129,0.013435577234574681,10,0.5,rbf
21,SVC,0.6474358974358975,0.6798224893386183,0.7032258064516129,0.015687953542271486,3,0.5,rbf
2,SVC,0.6346153846153846,0.6650005370973113,0.7402597402597403,0.03074546033079984,3,,linear
8,SVC,0.6387096774193548,0.6649963477382833,0.7402597402597403,0.028418352387856817,9,,linear
9,SVC,0.632258064516129,0.6649922120889864,0.7402597402597403,0.029894207084104715,10,,linear
3,SVC,0.632258064516129,0.6649880227299583,0.7402597402597403,0.030493538373813116,4,,linear
4,SVC,0.632258064516129,0.6649880227299583,0.7402597402597403,0.030493538373813116,5,,linear
37,SVC,0.632258064516129,0.6649714801327706,0.7207792207792207,0.024754004514246676,10,0.01,rbf
5,SVC,0.632258064516129,0.6630691351659095,0.7402597402597403,0.029782478321594218,6,,linear
7,SVC,0.6387096774193548,0.6630608101575844,0.7402597402597403,0.029031359069092863,8,,linear
1,SVC,0.6363636363636364,0.6624280558151526,0.7272727272727273,0.027256310898333205,2,,linear
15,SVC,0.6217948717948718,0.6624071090200123,0.6948051948051948,0.024852899799675154,2,1,rbf
35,SVC,0.6217948717948718,0.6624071090200123,0.6948051948051948,0.024852899799675154,10,1,rbf
30,SVC,0.6217948717948718,0.6624071090200123,0.6948051948051948,0.024852899799675154,5,1,rbf
25,SVC,0.6217948717948718,0.6624071090200123,0.6948051948051948,0.024852899799675154,4,1,rbf
20,SVC,0.6217948717948718,0.6624071090200123,0.6948051948051948,0.024852899799675154,3,1,rbf
6,SVC,0.6387096774193548,0.6617746232262361,0.7402597402597403,0.02973618056186831,7,,linear
0,SVC,0.6193548387096774,0.6617622699880765,0.7402597402597403,0.031128094656391433,1,,linear
27,SVC,0.6193548387096774,0.6591314062281806,0.6774193548387096,0.01575710264592015,4,0.01,rbf
32,SVC,0.6298701298701299,0.6572041399460755,0.6838709677419355,0.017527016611695173,5,0.01,rbf
22,SVC,0.5870967741935483,0.6500907157358771,0.6838709677419355,0.02644391194269197,3,0.01,rbf
10,SVC,0.5935483870967742,0.6494829901281514,0.6818181818181818,0.02385007103150771,1,1,rbf
17,SVC,0.567741935483871,0.6416907823359437,0.6709677419354839,0.028590502699804204,2,0.01,rbf
12,SVC,0.567741935483871,0.6384483258676807,0.6645161290322581,0.0278499884149341,1,0.01,rbf
38,SVC,0.5741935483870968,0.6358717089362251,0.6645161290322581,0.02411896496131596,10,0.001,rbf
33,SVC,0.5548387096774193,0.6204000837871806,0.6580645161290323,0.02605609748695431,5,0.001,rbf
28,SVC,0.5612903225806452,0.6184520855488598,0.6516129032258065,0.025690279095300063,4,0.001,rbf
23,SVC,0.5548387096774193,0.608141804432127,0.6558441558441559,0.029190647354431595,3,0.001,rbf
18,SVC,0.5584415584415584,0.5913671812058909,0.6623376623376623,0.029265217255461436,2,0.001,rbf
39,SVC,0.5064102564102564,0.5326437003856359,0.551948051948052,0.012533039515725175,10,0.0001,rbf
13,SVC,0.5064102564102564,0.5319985390953132,0.551948051948052,0.011853654181783009,1,0.001,rbf
34,SVC,0.5,0.5016129032258064,0.5032258064516129,0.001612903225806428,5,0.0001,rbf
29,SVC,0.5,0.5016129032258064,0.5032258064516129,0.001612903225806428,4,0.0001,rbf
19,SVC,0.5,0.5016129032258064,0.5032258064516129,0.001612903225806428,2,0.0001,rbf
24,SVC,0.5,0.5016129032258064,0.5032258064516129,0.001612903225806428,3,0.0001,rbf
14,SVC,0.5,0.5016129032258064,0.5032258064516129,0.001612903225806428,1,0.0001,rbf
