,estimator,min_score,mean_score,max_score,std_score,C,algorithm,alpha,criterion,gamma,hidden_layer_sizes,kernel,max_depth,max_features,max_iter,n_estimators,n_neighbors,random_state,solver,weights
455,mlp,0.6427514792899408,0.6737737391058651,0.6956295525494277,0.01768061949339462,,,1e-07,,,13,,,,1000,,,1,lbfgs,
451,mlp,0.6533530571992111,0.6731030491605213,0.6901709401709402,0.013416521514286297,,,1e-07,,,10,,,,2000,,,1,lbfgs,
443,mlp,0.6533530571992111,0.6731030491605213,0.6901709401709402,0.013416521514286297,,,1e-07,,,10,,,,1000,,,1,lbfgs,
447,mlp,0.6533530571992111,0.6731030491605213,0.6901709401709402,0.013416521514286297,,,1e-07,,,10,,,,1500,,,1,lbfgs,
298,ExtraTreesClassifier,0.6470016542597188,0.6730620340553103,0.7144432882414152,0.025799438524225303,,,,gini,,,,8,log2,,10,,,,
423,mlp,0.6530243261012492,0.6729612340175455,0.6966222879684418,0.016746506725779684,,,0.0001,,,10,,,,1500,,,1,lbfgs,
427,mlp,0.6530243261012492,0.6729612340175455,0.6966222879684418,0.016746506725779684,,,0.0001,,,10,,,,2000,,,1,lbfgs,
419,mlp,0.6530243261012492,0.6729612340175455,0.6966222879684418,0.016746506725779684,,,0.0001,,,10,,,,1000,,,1,lbfgs,
370,ExtraTreesClassifier,0.6626638917793964,0.6725115907643323,0.6807199211045364,0.006731678219005617,,,,entropy,,,,7,log2,,10,,,,
12,SVC,0.6474358974358975,0.6694628013910011,0.6865972944849116,0.01425860671507709,1,,,,0.01,,rbf,,,,,,,,
244,ExtraTreesClassifier,0.6157336108220604,0.6691340767924053,0.7055185733070348,0.02936636204586021,,,,gini,,,,5,log2,,10,,,,
226,ExtraTreesClassifier,0.6387039776462853,0.6675355169835279,0.7246409989594174,0.029609653126211437,,,,gini,,,,4,log2,,10,,,,
17,SVC,0.6441485864562788,0.6644298437894451,0.6808949011446409,0.0135789135021812,2,,,,0.01,,rbf,,,,,,,,
22,SVC,0.6446005917159763,0.664168000747085,0.678563995837669,0.01266472905468531,3,,,,0.01,,rbf,,,,,,,,
32,SVC,0.6446416831032216,0.6640488499200579,0.6776066597294484,0.012240863732178845,5,,,,0.01,,rbf,,,,,,,,
27,SVC,0.644559500328731,0.664024619941013,0.6778147762747138,0.012304489188644888,4,,,,0.01,,rbf,,,,,,,,
334,ExtraTreesClassifier,0.6391439205955336,0.6640245823131039,0.6920707596253902,0.018955059989896578,,,,entropy,,,,5,log2,,10,,,,
37,SVC,0.6441485864562787,0.6638165577851802,0.6781061394380853,0.012241127476522024,10,,,,0.01,,rbf,,,,,,,,
11,SVC,0.48116211745244,0.49370263039609874,0.5058144312952005,0.009657859017353774,1,,,,0.5,,rbf,,,,,,,,
16,SVC,0.48138957816377165,0.493603238839391,0.5055267915844839,0.009563546154033343,2,,,,0.5,,rbf,,,,,,,,
26,SVC,0.48138957816377165,0.493603238839391,0.5055267915844839,0.009563546154033343,4,,,,0.5,,rbf,,,,,,,,
36,SVC,0.48138957816377165,0.493603238839391,0.5055267915844839,0.009563546154033343,10,,,,0.5,,rbf,,,,,,,,
31,SVC,0.48138957816377165,0.493603238839391,0.5055267915844839,0.009563546154033343,5,,,,0.5,,rbf,,,,,,,,
21,SVC,0.48138957816377165,0.493603238839391,0.5055267915844839,0.009563546154033343,3,,,,0.5,,rbf,,,,,,,,
30,SVC,0.4258095003287311,0.4477523390876669,0.4588137356919876,0.011688234886285875,5,,,,1,,rbf,,,,,,,,
20,SVC,0.4258095003287311,0.4477523390876669,0.4588137356919876,0.011688234886285875,3,,,,1,,rbf,,,,,,,,
35,SVC,0.4258095003287311,0.4477523390876669,0.4588137356919876,0.011688234886285875,10,,,,1,,rbf,,,,,,,,
15,SVC,0.4258095003287311,0.4477523390876669,0.4588137356919876,0.011688234886285875,2,,,,1,,rbf,,,,,,,,
25,SVC,0.4258095003287311,0.4477523390876669,0.4588137356919876,0.011688234886285875,4,,,,1,,rbf,,,,,,,,
10,SVC,0.4258300460223537,0.4471114988496122,0.4589386056191468,0.01179178104130877,1,,,,1,,rbf,,,,,,,,
