,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel
26,SVC,0.9164185277088502,0.9301087622055364,0.9458734813573524,0.012036280754926878,4,0.5,rbf
16,SVC,0.9164185277088502,0.9301087622055364,0.9458734813573524,0.012036280754926878,2,0.5,rbf
36,SVC,0.9164185277088502,0.9301087622055364,0.9458734813573524,0.012036280754926878,10,0.5,rbf
31,SVC,0.9164185277088502,0.9301087622055364,0.9458734813573524,0.012036280754926878,5,0.5,rbf
21,SVC,0.9164185277088502,0.9301087622055364,0.9458734813573524,0.012036280754926878,3,0.5,rbf
11,SVC,0.9133167907361454,0.9276564295919135,0.9448261416003352,0.012327395844087563,1,0.5,rbf
20,SVC,0.9052109181141439,0.9247553521747071,0.9383949383949384,0.013068125583662773,3,1,rbf
15,SVC,0.9052109181141439,0.9247553521747071,0.9383949383949384,0.013068125583662773,2,1,rbf
35,SVC,0.9052109181141439,0.9247553521747071,0.9383949383949384,0.013068125583662773,10,1,rbf
25,SVC,0.9052109181141439,0.9247553521747071,0.9383949383949384,0.013068125583662773,4,1,rbf
30,SVC,0.9052109181141439,0.9247553521747071,0.9383949383949384,0.013068125583662773,5,1,rbf
10,SVC,0.9045905707196029,0.9244153695766599,0.9385002094679514,0.013149716917725067,1,1,rbf
22,SVC,0.8950984499371596,0.9067569527246947,0.9254495504495505,0.010357299212157698,3,0.01,rbf
17,SVC,0.8974025974025974,0.9063104100200874,0.9185397935397936,0.0072349426570507734,2,0.01,rbf
27,SVC,0.892375366568915,0.9056727680921229,0.9267815517815517,0.01164323650424393,4,0.01,rbf
32,SVC,0.8904063678257227,0.9044060777931746,0.9258658008658008,0.011890854369098501,5,0.01,rbf
37,SVC,0.8886887306242145,0.9039223679546259,0.9294455544455544,0.013907012180409158,10,0.01,rbf
12,SVC,0.8948889819857562,0.9007056921573049,0.9097985347985348,0.005030980292399017,1,0.01,rbf
38,SVC,0.893967322999581,0.9000782550782549,0.9097152847152846,0.005316504272376516,10,0.001,rbf
0,SVC,0.8788668320926385,0.8934966109159659,0.9270729270729271,0.017521677703299862,1,,linear
1,SVC,0.8801075268817204,0.8918846744653196,0.9254911754911754,0.017251765248419034,2,,linear
33,SVC,0.8841642228739004,0.8908473247182925,0.8956849602010892,0.005062584485528561,5,0.001,rbf
2,SVC,0.8748219522413071,0.8895795065149903,0.9245337995337995,0.018233680963674788,3,,linear
3,SVC,0.8737799834574027,0.8879456564940436,0.9232017982017982,0.018423689545729833,4,,linear
5,SVC,0.872870140612076,0.8875212959083927,0.9215784215784216,0.017983147922256616,6,,linear
4,SVC,0.8726220016542596,0.8874205901625256,0.9220362970362971,0.018284323938239932,5,,linear
6,SVC,0.8719602977667493,0.8870079920079921,0.9206210456210455,0.017706672281786906,7,,linear
28,SVC,0.8799748638458317,0.8863420987614535,0.8907834101382488,0.004557598194386278,4,0.001,rbf
7,SVC,0.8723738626964432,0.8863175534143277,0.9194139194139194,0.01725243025136413,8,,linear
8,SVC,0.8715053763440861,0.8860958933539578,0.919039294039294,0.017152530256418084,9,,linear
9,SVC,0.8715467328370554,0.8856629929210573,0.917957042957043,0.016789532421687098,10,,linear
23,SVC,0.8743611227482194,0.8805473558699365,0.8865940511101802,0.0045003971458676675,3,0.001,rbf
18,SVC,0.863720150816925,0.8725295672069866,0.8839128613322162,0.006634952901233367,2,0.001,rbf
39,SVC,0.8450775031420193,0.8572769703414865,0.8734394637620445,0.009536468876205552,10,0.0001,rbf
13,SVC,0.8449099287808967,0.8569768403639373,0.8727272727272728,0.00939667115710276,1,0.001,rbf
19,SVC,0.8444490992878089,0.8563958084925826,0.8726015919564306,0.009720864269162641,2,0.0001,rbf
14,SVC,0.8444909928780896,0.8563958084925826,0.8725596983661499,0.009696604589821604,1,0.0001,rbf
24,SVC,0.8444490992878089,0.8563958084925826,0.8726015919564306,0.009720864269162641,3,0.0001,rbf
29,SVC,0.8444490992878089,0.8563793733148571,0.8726434855467115,0.009754745981035888,4,0.0001,rbf
34,SVC,0.8444490992878089,0.8563793733148571,0.8726434855467115,0.009754745981035888,5,0.0001,rbf
