,estimator,min_score,mean_score,max_score,std_score,C,algorithm,alpha,criterion,gamma,hidden_layer_sizes,kernel,max_depth,max_features,max_iter,n_estimators,n_neighbors,random_state,solver,weights
345,ExtraTreesClassifier,0.7013477975016437,0.7381684125065743,0.8016929651545035,0.0308141012538248,,,,entropy,,,,6,auto,,500,,,,
293,ExtraTreesClassifier,0.6895604395604396,0.7381683348841191,0.8297994740302433,0.03861900321268377,,,,gini,,,,8,sqrt,,20,,,,
255,ExtraTreesClassifier,0.7013477975016437,0.7380141046100086,0.7977481919789613,0.030465486200141483,,,,gini,,,,6,auto,,500,,,,
200,knn,0.6806375442739079,0.7378588777190176,0.8380177514792901,0.039897389549352735,,kd_tree,,,,,,,,,,10,,,uniform
176,knn,0.6806375442739079,0.7378588777190176,0.8380177514792901,0.039897389549352735,,auto,,,,,,,,,,10,,,uniform
41,RandomForestClassifier,0.6962204462204462,0.737786801110977,0.7944608809993425,0.029798199633768778,,,,gini,,,,4,auto,,100,,,,
357,ExtraTreesClassifier,0.7015121630506246,0.737689692647235,0.7956114398422091,0.030327919738556943,,,,entropy,,,,6,log2,,500,,,,
371,ExtraTreesClassifier,0.7057856673241288,0.7375932467465933,0.7962689020381327,0.026420840545561482,,,,entropy,,,,7,log2,,20,,,,
188,knn,0.6760836566031371,0.7374580824880526,0.8413050624589086,0.041005819963130276,,ball_tree,,,,,,,,,,10,,,uniform
344,ExtraTreesClassifier,0.6949375410913873,0.7373527917858587,0.8069526627218935,0.0316693636310207,,,,entropy,,,,6,auto,,100,,,,
101,RandomForestClassifier,0.6938894438894438,0.7373243431560115,0.7987343852728468,0.030694946455145634,,,,entropy,,,,4,auto,,100,,,,
212,knn,0.6803845505144206,0.7372015749263501,0.8360453648915189,0.039161132388832814,,brute,,,,,,,,,,10,,,uniform
266,ExtraTreesClassifier,0.6929651545036161,0.7370291671365597,0.7962689020381328,0.030993890869374614,,,,gini,,,,6,log2,,100,,,,
350,ExtraTreesClassifier,0.6997041420118343,0.7367867965645187,0.776216305062459,0.03000797783737423,,,,entropy,,,,6,sqrt,,100,,,,
254,ExtraTreesClassifier,0.695595003287311,0.7367514589417685,0.7913379355687048,0.03238416809909445,,,,gini,,,,6,auto,,100,,,,
366,ExtraTreesClassifier,0.6949375410913873,0.736723476046653,0.8028435239973701,0.031847046602875434,,,,entropy,,,,7,sqrt,,40,,,,
275,ExtraTreesClassifier,0.7005259697567391,0.7364832151420562,0.8018573307034844,0.029591447878048904,,,,gini,,,,7,sqrt,,20,,,,
373,ExtraTreesClassifier,0.7047994740302432,0.736130922856697,0.7956114398422091,0.027359550760263796,,,,entropy,,,,7,log2,,50,,,,
100,RandomForestClassifier,0.6885614385614385,0.7350842353339856,0.7896942800788954,0.02963727871547177,,,,entropy,,,,4,auto,,50,,,,
351,ExtraTreesClassifier,0.6937869822485209,0.7346444306609141,0.7941321499013806,0.030351704325304693,,,,entropy,,,,6,sqrt,,500,,,,
355,ExtraTreesClassifier,0.692800788954635,0.7346142771092822,0.8077744904667982,0.03285106064847693,,,,entropy,,,,6,log2,,50,,,,
253,ExtraTreesClassifier,0.6849112426035503,0.7344458973704728,0.8090894148586457,0.0366918151911896,,,,gini,,,,6,auto,,50,,,,
