,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel
26,SVC,0.8882093933463798,0.9038665681536802,0.9212328767123287,0.012669111700936955,4,0.5,rbf
16,SVC,0.8882093933463798,0.9038665681536802,0.9212328767123287,0.012669111700936955,2,0.5,rbf
36,SVC,0.8882093933463798,0.9038665681536802,0.9212328767123287,0.012669111700936955,10,0.5,rbf
31,SVC,0.8882093933463798,0.9038665681536802,0.9212328767123287,0.012669111700936955,5,0.5,rbf
21,SVC,0.8882093933463798,0.9038665681536802,0.9212328767123287,0.012669111700936955,3,0.5,rbf
11,SVC,0.8868884540117418,0.9015905853535152,0.919569471624266,0.012553913944422585,1,0.5,rbf
20,SVC,0.8841487279843445,0.9010116884327116,0.9179060665362035,0.012435126773998719,3,1,rbf
35,SVC,0.8841487279843445,0.9010116884327116,0.9179060665362035,0.012435126773998719,10,1,rbf
15,SVC,0.8841487279843445,0.9010116884327116,0.9179060665362035,0.012435126773998719,2,1,rbf
30,SVC,0.8841487279843445,0.9010116884327116,0.9179060665362035,0.012435126773998719,5,1,rbf
25,SVC,0.8841487279843445,0.9010116884327116,0.9179060665362035,0.012435126773998719,4,1,rbf
10,SVC,0.8841976516634051,0.9005329685690324,0.9175146771037181,0.012287209038971767,1,1,rbf
37,SVC,0.863747553816047,0.8759705526046033,0.8876223091976516,0.008369422523846958,10,0.01,rbf
27,SVC,0.8658023483365949,0.8743464861482755,0.8859099804305283,0.007186373939803583,4,0.01,rbf
32,SVC,0.8661448140900196,0.8740639935034679,0.8841976516634051,0.006763708805441418,5,0.01,rbf
22,SVC,0.8660469667318982,0.8737035557863067,0.887866927592955,0.007773391497027454,3,0.01,rbf
17,SVC,0.8607142857142857,0.8691990494828069,0.8838062622309197,0.008111488297591899,2,0.01,rbf
12,SVC,0.8535714285714285,0.8646824953073207,0.8827299412915851,0.01028324437811701,1,0.01,rbf
38,SVC,0.8511252446183953,0.8631153400694916,0.8796966731898239,0.00955780207556033,10,0.001,rbf
0,SVC,0.850587084148728,0.8624580321365336,0.8699222546161322,0.007310498012810266,1,,linear
1,SVC,0.8457925636007828,0.8592373231092829,0.8698630136986302,0.008510165740027938,2,,linear
33,SVC,0.8395529640427599,0.8562961113995501,0.87573385518591,0.01307737185421773,5,0.001,rbf
2,SVC,0.845303326810176,0.8551225421675518,0.864774951076321,0.006870566578498591,3,,linear
3,SVC,0.8429549902152641,0.8525517525992784,0.8617906066536204,0.006800715152406218,4,,linear
4,SVC,0.8431017612524461,0.851831076853442,0.8620841487279844,0.006660427465469635,5,,linear
5,SVC,0.8432974559686889,0.851450004659398,0.8605185909980431,0.006208679155872358,6,,linear
6,SVC,0.8412426614481409,0.8507753238281615,0.860078277886497,0.0066822001412555985,7,,linear
28,SVC,0.8321185617103984,0.8505430861189878,0.8722602739726028,0.014055571850544171,4,0.001,rbf
7,SVC,0.8409491193737769,0.8503339457113569,0.8592465753424656,0.006917603576554872,8,,linear
8,SVC,0.8416829745596869,0.8501970925356443,0.8601761252446185,0.007245746768532014,9,,linear
9,SVC,0.8410958904109589,0.849825738514584,0.859931506849315,0.007565807812192196,10,,linear
23,SVC,0.8226433430515064,0.8437556744811427,0.8647260273972602,0.014730138327709764,3,0.001,rbf
18,SVC,0.8046161321671526,0.8321169642025108,0.8549902152641878,0.017697979950649624,2,0.001,rbf
14,SVC,0.7974732750242953,0.8281737156702211,0.853375733855186,0.01944050880384059,1,0.0001,rbf
19,SVC,0.7967444120505346,0.8279398804531597,0.853375733855186,0.019666522897192496,2,0.0001,rbf
13,SVC,0.796695821185617,0.8278518843936793,0.8525929549902154,0.019459936269510522,1,0.001,rbf
39,SVC,0.796695821185617,0.8277638217713701,0.8524461839530333,0.0194400504925295,10,0.0001,rbf
34,SVC,0.796695821185617,0.8277540370355579,0.8523972602739724,0.019427633034674617,5,0.0001,rbf
24,SVC,0.7965986394557822,0.8277346006895909,0.8523972602739726,0.019458719199189622,3,0.0001,rbf
29,SVC,0.7965014577259475,0.8277151643436239,0.8523972602739727,0.019489833313504713,4,0.0001,rbf
