,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel
11,SVC,0.8578969417679094,0.8777193773967967,0.886641852770885,0.01047637988986406,1,0.5,rbf
16,SVC,0.8529116045245078,0.8764367890174342,0.8887096774193548,0.01278293334296225,2,0.5,rbf
36,SVC,0.8522413070800168,0.8763684702394379,0.8892886683209263,0.013140758180970933,10,0.5,rbf
31,SVC,0.8522413070800168,0.8763684702394379,0.8892886683209263,0.013140758180970933,5,0.5,rbf
26,SVC,0.8522413070800168,0.8763684702394379,0.8892886683209263,0.013140758180970933,4,0.5,rbf
21,SVC,0.8522413070800168,0.8763271137464687,0.8891645988420182,0.01310295697598808,3,0.5,rbf
10,SVC,0.8490573942186845,0.8717903601774569,0.884119106699752,0.01248151682778627,1,1,rbf
20,SVC,0.8466694595726854,0.8714851814851814,0.8858560794044664,0.013757643614495083,3,1,rbf
25,SVC,0.8466694595726854,0.8714851814851814,0.8858560794044664,0.013757643614495083,4,1,rbf
35,SVC,0.8466694595726854,0.8714851814851814,0.8858560794044664,0.013757643614495083,10,1,rbf
30,SVC,0.8466694595726854,0.8714851814851814,0.8858560794044664,0.013757643614495083,5,1,rbf
15,SVC,0.8466694595726854,0.8714851814851814,0.8858560794044664,0.013757643614495083,2,1,rbf
37,SVC,0.8213657310431502,0.8268600216987314,0.8428866832092639,0.00811885385133894,10,0.01,rbf
32,SVC,0.8191894127377999,0.8260831641476802,0.8377998345740281,0.0067735444448586675,5,0.01,rbf
27,SVC,0.8182795698924731,0.8255445629639178,0.8387096774193549,0.007262242223600299,4,0.01,rbf
22,SVC,0.8196856906534326,0.8247510553962167,0.8370140612076095,0.00657852631224322,3,0.01,rbf
17,SVC,0.8162944582299421,0.8243500585436069,0.8352357320099256,0.006494123540576518,2,0.01,rbf
12,SVC,0.810054461667365,0.8175626524013622,0.8244003308519439,0.006282210147432787,1,0.01,rbf
38,SVC,0.8090984284532673,0.8174457800264252,0.8240281224152193,0.0064775784167320815,10,0.001,rbf
0,SVC,0.8002513615416841,0.8145510403574919,0.8333746898263027,0.011002890054074033,1,,linear
1,SVC,0.7978215333054044,0.8128280321828709,0.8316790736145574,0.011011772349639478,2,,linear
2,SVC,0.7965647255969837,0.8122317467478757,0.8310587262200165,0.011182176603152969,3,,linear
3,SVC,0.7969836614997906,0.8116094658030141,0.8287427626137304,0.010244406957093225,4,,linear
9,SVC,0.79878508588186,0.8115558634913473,0.8271298593879239,0.009296177936323268,10,,linear
8,SVC,0.7980728948470884,0.8114965679481809,0.8274193548387097,0.00960551289632543,9,,linear
5,SVC,0.7976120653540009,0.8114933453643131,0.8279569892473118,0.009991543672048138,6,,linear
4,SVC,0.7968998743192292,0.811383884932272,0.8283705541770057,0.010283465575756694,5,,linear
6,SVC,0.7978215333054043,0.8113779768618479,0.8279569892473119,0.009860661363385143,7,,linear
7,SVC,0.7981566820276497,0.8112898929027962,0.8270057899090157,0.00942111295251046,8,,linear
33,SVC,0.7957268537913699,0.8060742483323129,0.8154673283705541,0.007050320802902319,5,0.001,rbf
28,SVC,0.7897360703812317,0.7999556357620874,0.8108354011579817,0.007679798473855471,4,0.001,rbf
23,SVC,0.7840385421030582,0.7937408827731408,0.8089330024813896,0.008502845428449271,3,0.001,rbf
18,SVC,0.7755760368663596,0.7838253144704759,0.7976840363937138,0.0075608949651712045,2,0.001,rbf
14,SVC,0.7750620347394541,0.7825791412888187,0.7978494623655914,0.008262847461421197,1,0.0001,rbf
24,SVC,0.7744003308519437,0.7820729807826582,0.797187758478081,0.00823083629219067,3,0.0001,rbf
19,SVC,0.7744003308519437,0.7820729807826582,0.797187758478081,0.00823083629219067,2,0.0001,rbf
13,SVC,0.7744003308519437,0.7820233529910949,0.7970223325062035,0.008170417164549821,1,0.001,rbf
34,SVC,0.7744003308519437,0.782015081692501,0.7970223325062035,0.008170614970742472,5,0.0001,rbf
39,SVC,0.7744003308519437,0.782015081692501,0.7970223325062035,0.008170614970742472,10,0.0001,rbf
29,SVC,0.7744003308519437,0.7819819964981255,0.7970223325062035,0.008171741037255036,4,0.0001,rbf
